Stimulus,Response,SpikeCount
-0.7552,0,0.0
1.0,1,2.0
-0.7552,0,2.0
0.0,1,1.0
-1.0,0,2.0
0.4415,1,7.0
1.0,1,1.0
0.0,0,0.0
1.0,1,0.0
1.0,1,0.0
-0.7552,0,0.0
1.0,1,0.0
-1.0,0,0.0
1.0,1,6.0
-0.7552,0,1.0
-0.7552,1,2.0
0.7552,1,1.0
0.4415,1,2.0
-1.0,0,0.0
0.0,1,0.0
0.0,0,1.0
1.0,1,4.0
0.7552,1,0.0
1.0,1,0.0
-0.7552,0,1.0
0.7552,0,0.0
-0.7552,0,1.0
0.0,1,4.0
0.0,0,1.0
0.7552,1,2.0
0.7552,0,0.0
-0.4415,1,0.0
0.0,1,1.0
-1.0,0,0.0
0.4415,0,3.0
0.4415,0,0.0
0.7552,1,4.0
-0.4415,0,1.0
-0.7552,1,2.0
1.0,1,2.0
-0.7552,0,0.0
1.0,1,1.0
-1.0,1,0.0
0.4415,1,2.0
-0.4415,0,0.0
1.0,1,0.0
-0.4415,0,0.0
0.4415,1,6.0
-0.7552,0,1.0
0.4415,1,6.0
0.0,0,0.0
0.0,1,0.0
0.0,1,1.0
-1.0,0,1.0
1.0,1,0.0
-0.7552,0,3.0
0.0,0,0.0
-0.7552,0,2.0
0.0,1,0.0
0.0,0,0.0
0.0,1,0.0
0.7552,0,0.0
-0.7552,0,0.0
0.7552,1,0.0
-1.0,0,0.0
0.0,1,0.0
-1.0,0,3.0
0.7552,1,0.0
-0.7552,0,1.0
0.7552,0,0.0
-0.7552,0,0.0
0.0,1,1.0
1.0,1,5.0
0.7552,0,0.0
-0.4415,1,0.0
0.4415,0,0.0
-0.4415,1,5.0
1.0,1,0.0
0.0,1,0.0
1.0,1,4.0
0.7552,1,1.0
-0.7552,1,1.0
0.7552,1,3.0
-0.7552,0,1.0
0.7552,1,0.0
0.4415,0,1.0
0.7552,0,2.0
-0.4415,0,0.0
0.0,1,0.0
1.0,0,0.0
-1.0,0,1.0
0.7552,0,2.0
-0.4415,1,0.0
0.4415,1,1.0
-1.0,1,1.0
0.0,1,0.0
-1.0,1,1.0
-1.0,0,1.0
0.4415,1,1.0
-1.0,0,0.0
-0.4415,0,0.0
-0.7552,1,0.0
-1.0,1,2.0
-0.4415,0,0.0
-1.0,1,3.0
-1.0,1,2.0
-0.7552,0,1.0
-0.7552,1,1.0
-0.7552,0,1.0
0.0,0,0.0
-0.4415,0,2.0
-0.4415,0,2.0
-1.0,0,0.0
-0.7552,0,1.0
-0.7552,0,1.0
0.4415,0,0.0
1.0,1,0.0
0.7552,1,1.0
-0.4415,1,1.0
-0.4415,1,2.0
0.0,1,1.0
0.0,1,6.0
-0.4415,0,0.0
0.4415,0,2.0
0.0,0,0.0
0.4415,0,1.0
